,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,nanortalik,60.1432,-45.2371,23.59,87,51,13.33,GL,1612944645
269,wajir,1.7471,40.0573,89.56,28,90,15.82,KE,1612944646
270,colorado,-22.8375,-51.9731,64.24,89,99,9.24,BR,1612944367
271,cuenca,-2.8833,-78.9833,55.4,100,91,1.66,EC,1612944646
272,flin flon,54.7682,-101.865,-18.13,88,100,2.77,CA,1612944646
273,hithadhoo,-0.6,73.0833,82.36,79,37,17.29,MV,1612944647
274,vao,-22.6667,167.4833,78.03,80,6,18.32,NC,1612944647
275,ankang,32.68,109.0172,67.55,29,0,2.48,CN,1612944647
276,nome,64.5011,-165.4064,-7.6,45,1,4.61,US,1612944648
277,voskresenskoye,56.8381,45.4317,8.26,95,100,7.38,RU,1612944648
278,jibuti,11.5,42.5,80.6,57,20,8.05,DJ,1612944648
279,suarez,2.954,-76.6964,66.31,80,97,1.21,CO,1612944648
280,portland,45.5234,-122.6762,34.0,80,75,0.85,US,1612944544
281,fuyu,45.1833,124.8167,23.25,97,28,4.29,CN,1612944649
282,andenes,69.3143,16.1194,26.6,93,75,21.85,NO,1612944649
283,nemuro,43.3236,145.575,26.6,54,75,5.75,JP,1612944650
284,san cristobal,7.7669,-72.225,66.69,89,92,1.25,VE,1612944650
285,poronaysk,49.2167,143.1167,11.97,90,70,7.09,RU,1612944650
286,kuldur,49.2167,131.6333,6.13,91,29,5.5,RU,1612944650
287,aripuana,-9.1667,-60.6333,71.28,99,99,1.86,BR,1612944651
288,verkhneuralsk,53.8769,59.2106,1.4,66,20,6.71,RU,1612944651
289,atbasar,51.8,68.3333,-12.51,87,0,6.91,KZ,1612944651
290,kuytun,54.3419,101.5036,12.24,93,100,2.13,RU,1612944652
291,ailigandi,9.2333,-78.0167,78.55,84,72,9.93,PA,1612944652
292,terrace bay,48.7834,-87.1,-11.2,77,87,3.44,CA,1612944652
293,toora-khem,52.4675,96.11,19.47,86,37,2.84,RU,1612944653
294,saint-philippe,-21.3585,55.7679,89.6,55,0,20.71,RE,1612944653
295,port augusta,-32.5,137.7667,102.0,13,0,11.5,AU,1612944653
296,luderitz,-26.6481,15.1594,68.58,72,19,7.14,NA,1612944653
297,ambilobe,-13.2,49.05,87.96,69,48,1.61,MG,1612944654
298,tual,-5.6667,132.75,84.16,77,1,14.79,ID,1612944654
299,bilma,18.6853,12.9164,74.43,17,0,6.58,NE,1612944654
300,agadez,19.75,10.25,71.33,18,52,5.75,NE,1612944655
301,mataram,-8.5833,116.1167,78.8,89,75,3.44,ID,1612944655
302,krasnoborsk,61.5598,45.934,-3.14,88,99,3.04,RU,1612944655
303,svetlaya,46.5389,138.3297,19.94,86,1,6.4,RU,1612944655
304,lagoa,39.05,-27.9833,59.81,77,92,29.08,PT,1612944656
305,southbridge,42.0751,-72.0334,16.0,84,3,3.96,US,1612944556
306,artyom,40.4723,50.333,50.0,81,40,2.3,AZ,1612944656
307,zhangye,38.9342,100.4517,47.44,42,100,7.25,CN,1612944657
308,gunnedah,-30.9833,150.25,81.0,45,0,4.0,AU,1612944657
309,port-cartier,50.0334,-66.8654,3.99,55,0,5.75,CA,1612944657
310,inta,66.0317,60.1659,-20.02,86,98,8.1,RU,1612944379
311,aloleng,16.1307,119.7824,83.77,67,98,5.5,PH,1612944657
312,antalaha,-14.9003,50.2788,84.16,65,49,4.27,MG,1612944658
313,half moon bay,37.4636,-122.4286,50.0,93,75,3.65,US,1612944447
314,huilong,31.8111,121.655,53.01,76,100,1.99,CN,1612944658
315,tateyama,34.9833,139.8667,52.0,46,75,8.05,JP,1612944658
316,rakiv lis,51.6217,24.9243,18.82,97,85,2.55,UA,1612944659
317,haverhill,42.7762,-71.0773,18.0,92,8,4.43,US,1612944450
318,srednekolymsk,67.45,153.6833,-5.35,89,0,8.7,RU,1612944659
319,pangnirtung,66.1451,-65.7125,8.19,76,0,3.6,CA,1612944659
320,loa janan,-0.583,117.095,85.77,76,59,4.03,ID,1612944449
321,broome,42.2506,-75.833,17.6,73,90,10.36,US,1612944660
322,roald,62.5833,6.1333,24.8,93,40,8.05,NO,1612944660
323,salalah,17.0151,54.0924,80.6,26,75,12.66,OM,1612944661
324,devils lake,48.1128,-98.8651,-16.01,69,1,18.41,US,1612944661
325,la ronge,55.1001,-105.2842,-22.0,69,100,4.61,CA,1612944661
326,kenai,60.5544,-151.2583,10.99,85,90,11.5,US,1612944662
327,rabaul,-4.1967,152.1721,83.26,77,100,13.47,PG,1612944662
328,rakkestad,59.4251,11.3454,12.0,89,20,6.55,NO,1612944662
329,evora,38.5667,-7.9,57.2,94,90,19.57,PT,1612944455
330,catalina,32.5056,-110.9211,57.0,33,100,3.22,US,1612944662
331,talnakh,69.4865,88.3972,-6.11,88,5,6.71,RU,1612944427
332,porto santo,33.072,-16.3415,59.0,88,20,3.44,PT,1612944663
333,mandali,33.7499,45.5541,72.45,25,100,8.32,IQ,1612944663
334,honiara,-9.4333,159.95,80.04,81,100,6.42,SB,1612944663
335,kavieng,-2.5744,150.7967,83.73,73,100,7.36,PG,1612944664
336,san juan,-31.5375,-68.5364,66.88,67,3,4.09,AR,1612944664
337,acapulco,16.8634,-99.8901,73.13,83,1,4.5,MX,1612944664
338,port hardy,50.6996,-127.4199,32.0,74,75,6.91,CA,1612944664
339,amboasary,-25.0333,46.3833,80.6,83,75,11.5,MG,1612944665
340,burnie,-41.0667,145.9167,61.0,85,0,5.01,AU,1612944665
341,farmington,36.7281,-108.2187,41.0,56,1,6.91,US,1612944665
342,aasiaat,68.7098,-52.8699,9.88,87,0,12.82,GL,1612944666
343,port elizabeth,-33.918,25.5701,78.8,65,40,4.61,ZA,1612944456
344,bathsheba,13.2167,-59.5167,77.0,65,40,19.57,BB,1612944666
345,obo,5.3998,26.4869,90.19,18,91,5.44,CF,1612944666
346,kortkeros,61.8106,51.5806,-16.6,83,20,6.71,RU,1612944667
347,tucuma,-0.1833,-50.05,75.61,93,100,4.83,BR,1612944667
348,rosarito,32.3333,-117.0333,53.6,71,90,1.48,MX,1612944667
349,mbini,1.574,9.6134,82.49,77,100,3.56,GQ,1612944668
350,shikhazany,55.5605,47.393,3.2,85,75,6.71,RU,1612944668
351,humboldt,40.6665,-123.9178,42.01,100,1,2.64,US,1612944538
352,basoko,1.2391,23.616,87.87,30,100,1.23,CD,1612944668
353,aykhal,66.0,111.5,-12.8,87,100,6.4,RU,1612944669
354,camacupa,-12.0167,17.4833,70.63,76,87,3.04,AO,1612944669
355,felipe carrillo puerto,19.5833,-88.05,70.03,96,0,2.64,MX,1612944669
356,mookane,-23.688,26.6595,77.85,62,54,9.51,BW,1612944669
357,playa del carmen,20.6274,-87.0799,75.99,92,2,4.9,MX,1612944373
358,cayambe,0.05,-78.1333,53.6,94,75,4.61,EC,1612944670
359,fethiye,36.6217,29.1164,64.4,72,20,1.14,TR,1612944670
360,wattegama,6.7989,81.4808,87.8,58,20,9.22,LK,1612944671
361,sisimiut,66.9395,-53.6735,16.23,81,0,4.12,GL,1612944671
362,quatre cocos,-20.2078,57.7625,86.0,66,75,11.5,MU,1612944671
363,malinovoye ozero,51.6753,79.7825,-4.36,87,100,13.96,RU,1612944671
364,tuatapere,-46.1333,167.6833,53.2,82,99,11.72,NZ,1612944672
365,okhotsk,59.3833,143.3,23.49,92,100,12.03,RU,1612944672
366,kalevala,65.2,31.1667,-0.69,92,1,3.53,RU,1612944673
367,safaga,26.7292,33.9365,71.6,37,0,11.5,EG,1612944673
368,kurchum,48.5722,83.6542,8.58,88,0,2.68,KZ,1612944673
369,tupik,54.4253,119.9327,14.85,93,100,3.11,RU,1612944673
370,varkaus,62.3153,27.873,-0.4,78,20,1.14,FI,1612944674
371,kuah,6.3265,99.8432,89.6,62,20,8.05,MY,1612944674
372,korla,41.7597,86.1469,43.75,51,98,5.01,CN,1612944674
373,port lincoln,-34.7333,135.8667,79.84,38,0,9.35,AU,1612944674
374,kirakira,-10.4544,161.9205,81.91,78,100,4.97,SB,1612944675
375,matay,28.419,30.7792,72.0,22,90,12.01,EG,1612944675
376,ostrovnoy,68.0531,39.5131,7.03,94,100,16.51,RU,1612944675
377,presidencia roque saenz pena,-26.7852,-60.4388,66.99,93,60,1.01,AR,1612944676
378,waslala,13.2333,-85.3833,66.96,94,44,1.36,NI,1612944676
379,sambava,-14.2667,50.1667,79.0,82,98,1.16,MG,1612944676
380,latung,5.5,120.8833,83.59,69,0,4.21,PH,1612944677
381,mioveni,44.9566,24.9378,48.99,77,19,7.29,RO,1612944677
382,la rioja,42.25,-2.5,42.8,81,75,18.41,ES,1612944677
383,karatau,43.1667,70.4667,31.5,98,100,1.99,KZ,1612944677
384,menongue,-14.6585,17.691,70.02,82,100,6.31,AO,1612944678
385,lingao,19.9103,109.6859,65.23,82,76,10.45,CN,1612944678
386,meadow lake,34.8014,-106.5436,46.0,22,90,5.75,US,1612944679
387,saint-augustin,51.226,-58.6502,11.89,95,100,8.39,CA,1612944679
388,ust-maya,60.4167,134.5333,-13.58,89,50,1.19,RU,1612944679
389,kavaratti,10.5669,72.642,82.26,61,54,7.56,IN,1612944680
390,waddan,29.1614,16.139,66.27,25,0,7.96,LY,1612944499
391,plettenberg bay,-34.0527,23.3716,74.23,60,0,5.46,ZA,1612944681
392,turkistan,43.0,68.0,36.27,86,100,4.18,KZ,1612944681
393,grindavik,63.8424,-22.4338,30.2,100,40,6.91,IS,1612944681
394,takoradi,4.8845,-1.7554,81.36,83,0,4.88,GH,1612944423
395,buraydah,26.326,43.975,59.0,72,0,4.61,SA,1612944473
396,copiapo,-27.3667,-70.3333,60.8,82,90,0.51,CL,1612944682
397,hvide sande,56.0045,8.1294,21.99,86,0,4.61,DK,1612944682
398,boundiali,9.5217,-6.4869,70.68,25,2,4.61,CI,1612944683
399,vidim,56.4088,103.1106,10.49,90,100,6.6,RU,1612944683
400,sibolga,1.7427,98.7792,86.04,66,100,6.26,ID,1612944683
401,torredonjimeno,37.7675,-3.9578,55.99,95,100,16.15,ES,1612944684
402,rawson,-43.3002,-65.1023,66.76,62,0,26.22,AR,1612944684
403,pokrovsk,48.282,37.1758,33.15,95,100,7.76,UA,1612944684
404,laguna hills,33.5956,-117.7003,54.0,84,52,1.9,US,1612944684
405,cabo san lucas,22.8909,-109.9124,63.0,72,2,11.18,MX,1612944463
406,broken hill,-31.95,141.4333,98.6,15,0,8.05,AU,1612944685
407,esperance,-33.8667,121.9,66.2,63,90,20.71,AU,1612944685
408,waipawa,-41.4122,175.5153,62.6,72,100,19.57,NZ,1612944686
409,geraldton,-28.7667,114.6,73.4,56,0,26.46,AU,1612944687
410,vila velha,-20.3297,-40.2925,78.01,100,40,2.3,BR,1612944687
411,wajima,37.4,136.9,37.4,93,40,2.3,JP,1612944687
412,beroroha,-21.6667,45.1667,73.96,88,100,5.88,MG,1612944688
413,batemans bay,-35.7167,150.1833,64.99,74,98,1.99,AU,1612944688
414,cherskiy,68.75,161.3,-7.02,86,0,1.36,RU,1612944688
415,ballater,57.0493,-3.0402,27.0,89,90,1.01,GB,1612944689
416,karasjok,69.4719,25.5112,21.2,73,90,14.97,NO,1612944689
417,belmonte,-15.8631,-38.8828,71.6,94,20,4.61,BR,1612944689
418,taoudenni,22.6783,-3.9836,62.44,28,0,6.85,ML,1612944690
419,payo,-3.7508,103.6372,83.97,84,100,3.15,ID,1612944690
420,klaksvik,62.2266,-6.589,30.2,74,97,4.61,FO,1612944690
421,kangshan,28.8812,116.4311,54.39,91,100,13.0,CN,1612944690
422,ryotsu,38.0833,138.4333,41.0,87,75,26.46,JP,1612944691
423,la palma,33.8464,-118.0467,54.0,82,1,2.86,US,1612944691
424,udachnyy,66.4167,112.4,-12.46,87,100,8.46,RU,1612944691
425,pipri,19.8,75.5333,86.0,19,52,2.3,IN,1612944691
426,abu dhabi,24.4667,54.3667,77.0,65,0,4.61,AE,1612944525
427,freetown,8.484,-13.2299,78.8,78,75,6.91,SL,1612944692
428,constitucion,-35.3333,-72.4167,60.31,85,0,1.03,CL,1612944692
429,asau,46.4333,26.4,44.6,81,0,9.22,RO,1612944693
430,robinson,31.4677,-97.1147,37.0,93,90,9.22,US,1612944693
431,nokaneng,-19.6667,22.2667,69.93,86,100,10.25,BW,1612944693
432,boves,44.332,7.5514,42.01,87,100,1.99,IT,1612944693
433,berdigestyakh,62.0989,126.6992,-13.47,88,3,5.23,RU,1612944694
434,port shepstone,-30.7414,30.455,79.3,81,67,14.03,ZA,1612944694
435,monroe,43.1501,-77.6831,19.0,79,40,10.36,US,1612944694
436,verkhnyaya sinyachikha,57.976,61.6673,-11.07,85,6,4.97,RU,1612944694
437,kpandae,8.4689,-0.0113,82.0,67,0,2.84,GH,1612944695
438,kedrovyy,56.1667,91.8167,8.6,56,40,11.18,RU,1612944695
439,bandundu,-3.3167,17.3667,81.32,71,100,5.59,CD,1612944695
440,takanabe,32.1333,131.5,60.8,51,40,13.8,JP,1612944695
441,guaiuba,-4.0397,-38.6372,81.0,83,40,9.22,BR,1612944696
442,tiznit,29.5833,-9.5,53.47,88,88,2.93,MA,1612944696
443,dalvik,65.9702,-18.5286,23.0,93,90,4.61,IS,1612944696
444,harper,4.375,-7.7169,80.64,87,99,6.51,LR,1612944696
445,charters towers,-20.1,146.2667,83.35,68,53,12.3,AU,1612944697
446,limbang,4.75,115.0,86.0,70,75,8.05,MY,1612944697
447,flinders,-34.5833,150.8552,71.01,68,75,1.01,AU,1612944697
448,havelock,34.8791,-76.9013,50.0,94,6,8.99,US,1612944697
449,dera bugti,29.0307,69.151,77.86,16,0,0.65,PK,1612944698
450,nelson bay,-32.7167,152.15,75.0,56,20,10.36,AU,1612944698
451,pachino,36.7186,15.0907,59.0,72,0,5.75,IT,1612944549
452,tomas oppus,10.2506,124.9831,82.69,79,100,5.57,PH,1612944698
453,saint-joseph,-21.3667,55.6167,89.6,55,0,20.71,RE,1612944699
454,sharjah,25.3573,55.4033,80.6,34,0,4.61,AE,1612944699
455,susangerd,31.5608,48.1831,68.0,68,100,2.3,IR,1612944699
456,vikhorevka,56.1201,101.1636,14.0,41,100,11.18,RU,1612944699
457,kantabanji,20.4833,82.9167,89.2,12,34,1.79,IN,1612944700
458,mosquera,4.7059,-74.2302,53.6,94,75,4.61,CO,1612944700
459,necochea,-38.5473,-58.7368,53.01,98,21,8.61,AR,1612944701
460,gazanjyk,39.2446,55.5154,59.95,48,0,7.63,TM,1612944610
461,te anau,-45.4167,167.7167,50.04,82,99,9.19,NZ,1612944701
462,chadiza,-14.0678,32.4392,76.17,80,100,2.19,ZM,1612944701
463,turbat,26.0023,63.044,89.33,11,63,21.05,PK,1612944702
464,tarnogskiy gorodok,60.4997,43.5761,-2.15,89,51,1.57,RU,1612944702
465,sao paulo do potengi,-5.895,-35.7628,77.0,94,75,4.61,BR,1612944703
466,camocim,-2.9022,-40.8411,75.69,92,100,9.15,BR,1612944703
467,zhigansk,66.7697,123.3711,-22.7,85,0,4.41,RU,1612944703
468,lhokseumawe,5.1801,97.1507,83.59,72,64,6.2,ID,1612944430
469,praia da vitoria,38.7333,-27.0667,60.01,82,75,19.28,PT,1612944703
470,shitanjing,39.2342,106.3439,44.96,51,0,11.05,CN,1612944704
471,sharan,54.8167,54.0,4.08,91,100,5.5,RU,1612944704
472,darhan,49.4867,105.9228,22.35,94,95,5.95,MN,1612944704
473,solnechnyy,50.7214,136.6319,5.52,92,58,3.91,RU,1612944704
474,anori,-3.7728,-61.6442,73.24,97,99,1.81,BR,1612944705
475,chokwe,-24.5333,32.9833,83.3,73,36,11.3,MZ,1612944705
476,lujan,-34.5703,-59.105,64.99,98,90,1.01,AR,1612944705
477,jiuquan,39.7432,98.5174,46.58,45,100,4.74,CN,1612944706
478,batken,39.8333,71.0,36.68,80,100,0.89,KG,1612944706
479,hambantota,6.1241,81.1185,87.8,58,20,9.22,LK,1612944706
480,andilamena,-17.0167,48.5833,79.38,64,60,3.96,MG,1612944706
481,konstantinovka,49.6167,127.9833,8.49,95,65,2.68,RU,1612944707
482,dallas,32.7668,-96.7836,32.0,86,90,11.5,US,1612944707
483,bambanglipuro,-7.95,110.2833,83.14,72,100,8.01,ID,1612944707
484,abalak,58.1286,68.5944,-16.96,87,57,5.5,RU,1612944707
485,coihaique,-45.5752,-72.0662,55.4,76,0,1.5,CL,1612944708
486,am timan,11.0297,20.2827,80.64,15,0,9.6,TD,1612944708
487,umarkot,25.3616,69.7362,90.37,11,63,7.85,PK,1612944708
488,beipiao,41.7919,120.7792,42.94,54,0,0.96,CN,1612944708
489,thabazimbi,-24.5917,27.4116,79.0,65,23,1.99,ZA,1612944709
490,margate,51.3813,1.3862,32.0,59,100,7.0,GB,1612944709
491,orlik,52.5178,99.825,18.45,80,98,3.53,RU,1612944709
492,nanga eboko,4.6833,12.3667,74.66,76,100,2.53,CM,1612944709
493,westport,41.1415,-73.3579,21.2,86,1,4.61,US,1612944710
494,college,64.8569,-147.8028,-22.0,62,1,6.91,US,1612944710
495,sola,-13.8833,167.55,82.78,77,87,15.19,VU,1612944710
496,shimoda,34.6667,138.95,51.8,46,75,8.05,JP,1612944710
497,boyolangu,-8.1181,111.8935,81.21,79,96,6.78,ID,1612944711
498,ixtapa,20.7,-105.2,63.39,80,27,2.53,MX,1612944711
499,hedaru,-4.5,37.9,71.02,87,100,2.04,TZ,1612944711
500,ambovombe,-25.1667,46.0833,76.87,82,100,2.55,MG,1612944711
501,tabory,58.5198,64.5495,-9.36,82,0,3.62,RU,1612944712
502,panama city,8.9936,-79.5197,77.0,83,75,6.91,PA,1612944600
503,zaozerne,45.1582,33.2787,53.01,65,100,5.01,UA,1612944712
504,iwanai,42.9744,140.5089,25.41,93,100,13.6,JP,1612944713
505,vila,42.0304,-8.1588,41.0,95,56,1.01,PT,1612944713
506,celestun,20.8667,-90.4,74.62,81,0,10.51,MX,1612944714
507,serenje,-13.2325,30.2352,72.57,87,100,1.61,ZM,1612944714
508,dukat,62.55,155.55,5.29,93,100,6.31,RU,1612944715
509,mwinilunga,-11.7358,24.4293,66.25,92,100,6.64,ZM,1612944715
510,san andres,12.5847,-81.7006,78.8,73,20,11.5,CO,1612944606
511,yinchuan,38.4681,106.2731,51.17,41,0,2.91,CN,1612944715
512,victoria,22.2855,114.1577,63.0,90,100,1.01,HK,1612944494
513,trelew,-43.249,-65.3051,67.91,53,4,24.36,AR,1612944716
514,luebo,-5.35,21.4167,84.6,59,65,3.89,CD,1612944716
515,bonfim,3.0833,-59.95,74.44,76,72,9.42,BR,1612944716
516,gisborne,-38.6533,178.0042,65.52,90,100,3.04,NZ,1612944716
517,berlevag,70.8578,29.0864,23.0,58,40,25.32,NO,1612944717
518,walvis bay,-22.9575,14.5053,75.2,64,0,9.22,NA,1612944717
519,pirenopolis,-15.8525,-48.9592,62.6,94,40,3.44,BR,1612944717
520,battle creek,42.3212,-85.1797,3.2,78,40,1.77,US,1612944718
521,baghdad,33.3406,44.4009,68.0,52,0,6.91,IQ,1612944718
522,richards bay,-28.783,32.0377,81.46,77,39,6.38,ZA,1612944718
523,denpasar,-8.65,115.2167,84.2,74,40,12.66,ID,1612944629
524,saint-pierre,-21.3393,55.4781,89.6,55,0,20.71,RE,1612944719
525,soyo,-6.1349,12.3689,78.8,89,75,3.44,AO,1612944719
526,riyadh,24.6877,46.7219,68.0,32,0,9.22,SA,1612944426
527,talca,-35.4333,-71.6667,64.99,88,0,2.26,CL,1612944719
528,luzhou,28.8724,105.4405,68.72,35,0,3.91,CN,1612944719
529,moranbah,-22.0016,148.0466,82.31,58,90,15.28,AU,1612944720
530,gladstone,-23.85,151.25,80.6,54,75,14.97,AU,1612944628
531,moba,33.2288,105.0179,49.57,50,95,8.43,CN,1612944720
532,beringovskiy,63.05,179.3167,-13.29,88,12,10.67,RU,1612944720
533,omutninsk,58.67,52.1932,-5.37,88,94,2.01,RU,1612944721
534,sanchursk,56.9413,47.2499,5.76,94,100,7.18,RU,1612944721
535,sakaraha,-22.9,44.5333,73.08,82,100,16.62,MG,1612944721
536,tilichiki,60.4667,166.1,4.59,94,68,9.64,RU,1612944721
